symbol,n_quote,spread_bps,ask1_depth,rv20_bps,friction,depth,stratum,ok,tick,tick_share,median_price,rel_tick_bps,mean_spread_ticks,frac_one_tick,n_quotes,traded_value
281820,9561,11.092623405435386,107.0,5.5340343110121815,L,shallow,L-shallow,True,50.0,0.9171208593501958,45275.0,11.043622308117063,1.3682669176864344,0.7224139734337413,9561,4886982000.0
282330,15513,8.261049153242462,41.0,4.1476565740361515,L,shallow,L-shallow,True,100.0,0.8781612735879645,124400.0,8.038585209003216,1.7797189272821041,0.6178442496132027,15512,10827749000.0
282720,24311,13.360053440213761,135.0,6.668889629877217,L,shallow,L-shallow,True,10.0,0.8209737399759006,15235.0,6.563833278634722,2.9625272510386247,0.37341121303113817,24311,25348284000.0
282880,3832,13.679890560875513,26.0,6.80735194009463,L,shallow,L-shallow,True,10.0,0.8121708794102159,14630.0,6.83526999316473,2.8400313152400836,0.3836116910229645,3832,463147000.0
284740,2084,41.32231404958678,39.0,10.330578512396382,H,shallow,H-shallow,True,50.0,0.9028283563971837,24275.0,20.597322348094746,2.149232245681382,0.2595969289827255,2084,319071000.0
285130,5436,17.6522506619594,81.0,8.733624454149158,L,shallow,L-shallow,True,100.0,0.8870622205663189,56750.0,17.62114537444934,1.4064741585433143,0.7231929372815891,5437,1644288000.0
285490,3333,43.38394793926248,103.0,10.94091903719896,H,shallow,H-shallow,True,50.0,0.9373100303951368,22925.0,21.810250817884405,1.8796879687968797,0.42304230423042305,3333,1525574000.0
285800,650,52.45410266017235,16.0,15.060243098747318,H,shallow,H-shallow,True,1.0,0.6478790259230165,1328.0,7.530120481927711,8.301538461538462,0.04,650,51287000.0
286750,1216,80.0533689126084,30.0,20.236235009232217,H,shallow,H-shallow,True,1.0,0.5513626834381551,1497.0,6.680026720106881,13.400493421052632,0.005756578947368421,1216,123413000.0
286940,2307,43.956043956043956,66.0,11.173184357542443,H,shallow,H-shallow,True,50.0,0.9392395353933816,22425.0,22.29654403567447,1.6770697876029474,0.45817078456870397,2307,514347000.0
287840,8088,15.68955977761318,87.0,10.554089709762238,L,shallow,L-shallow,True,50.0,0.8394502552608641,46350.0,10.787486515641854,1.8125618199802176,0.5,8088,4914207000.0
288330,3197,59.347181008902076,315.0,22.975301550832718,H,deep,H-deep,True,1.0,0.7069143038175194,843.0,11.862396204033216,5.885517672818267,0.07944948389114795,3197,464580000.0
288620,1794,21.85792349726776,60.0,10.887316276537717,M,shallow,M-shallow,True,10.0,0.7412330316742082,9185.0,10.887316276537835,2.902452619843924,0.2993311036789298,1794,243872000.0
288980,1225,31.007751937984494,463.0,15.88562351072298,M,deep,M-deep,True,1.0,0.7964803312629399,633.5,15.785319652722968,2.073469387755102,0.4710204081632653,1225,86628000.0
